symbol,name,sector,bse_security_code,bse_industry
IBREALEST.BO,Indiabulls Real Estate Limited,Real Estate,532832,Realty
HINDUNILVR.BO,Hindustan Unilever Limited,Consumer Defensive,500696,Fast Moving Consumer Goods
ITC.BO,ITC Limited,Consumer Defensive,500875,Fast Moving Consumer Goods
DMART.BO,Avenue Supermarts Limited,Consumer Defensive,540376,Consumer Services
NESTLEIND.BO,Nestlé India Limited,Consumer Defensive,500790,Fast Moving Consumer Goods
VBL.BO,Varun Beverages Limited,Consumer Defensive,540180,Fast Moving Consumer Goods
BRITANNIA.BO,Britannia Industries Limited,Consumer Defensive,500825,Fast Moving Consumer Goods
GODREJCP.BO,Godrej Consumer Products Limited,Consumer Defensive,532424,Fast Moving Consumer Goods
DABUR.BO,Dabur India Limited,Consumer Defensive,500096,Fast Moving Consumer Goods
TATACONSUM.BO,Tata Consumer Products Limited,Consumer Defensive,500800,Fast Moving Consumer Goods
MARICO.BO,Marico Limited,Consumer Defensive,531642,Fast Moving Consumer Goods
COLPAL.BO,Colgate-Palmolive (India) Limited,Consumer Defensive,500830,Fast Moving Consumer Goods
PGHH.BO,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,500459,Fast Moving Consumer Goods
AWL.BO,Adani Wilmar Limited,Consumer Defensive,543458,Fast Moving Consumer Goods
PATANJALI.BO,Patanjali Foods Limited,Consumer Defensive,500368,Fast Moving Consumer Goods
UBL.BO,United Breweries Limited,Consumer Defensive,532478,Fast Moving Consumer Goods
UNITDSPR.BO,United Spirits Limited,Consumer Defensive,532432,Fast Moving Consumer Goods
HATSUN.BO,Hatsun Agro Product Limited,Consumer Defensive,531531,Fast Moving Consumer Goods
EMAMILTD.BO,Emami Limited,Consumer Defensive,531162,Fast Moving Consumer Goods
RADICO.BO,Radico Khaitan Limited,Consumer Defensive,532497,Fast Moving Consumer Goods
GILLETTE.BO,Gillette India Limited,Consumer Defensive,507815,Fast Moving Consumer Goods
BIKAJI.BO,Bikaji Foods International Limited,Consumer Defensive,543653,Fast Moving Consumer Goods
JYOTHYLAB.BO,Jyothy Labs Limited,Consumer Defensive,532926,Fast Moving Consumer Goods
GODFRYPHLP.BO,Godfrey Phillips India Limited,Consumer Defensive,500163,Fast Moving Consumer Goods
RENUKA.BO,Shree Renuka Sugars Limited,Consumer Defensive,532670,Fast Moving Consumer Goods
ZYDUSWELL.BO,Zydus Wellness Limited,Consumer Defensive,531335,Fast Moving Consumer Goods
